n_estimators,max_depth,min_samples_split,accuracy,precision,recall,f1-score
50,,2,0.5,0.5,0.3514285714285714,0.3377777777777778
100,10.0,5,0.5,0.5,0.3628571428571429,0.34051282051282045
150,20.0,10,0.5,0.5,0.3742857142857143,0.32913752913752914
200,,2,0.45,0.45,0.33428571428571424,0.3151515151515151
